Vial,Treatment,Rep,AgeBin,Remating,MatingDay1,Date,Temperature,Humidity,StartTime
37,LTP,1,4,0,1,7/13/14,23,63,9:07
38,LTP,2,4,1,1,7/13/14,23,63,9:07
39,LTP,3,4,0,1,7/13/14,23,63,9:07
40,LTP,4,4,0,1,7/13/14,23,63,9:07
41,LTS,1,4,0,1,7/13/14,23,63,9:07
42,LTS,2,4,0,1,7/13/14,23,63,9:07
43,LTS,3,4,0,1,7/13/14,23,63,9:07
44,LTS,4,4,1,1,7/13/14,23,63,9:07
45,LTC,1,4,0,1,7/13/14,23,63,9:07
46,LTC,2,4,0,1,7/13/14,23,63,9:07
47,LTC,3,4,0,1,7/13/14,23,63,9:07
48,LTC,4,4,0,1,7/13/14,23,63,9:07
1,LTP,1,1,0,0,7/17/14,22,44,9:06
2,LTP,2,1,1,1,7/17/14,22,44,9:06
3,LTP,3,1,1,1,7/17/14,22,44,9:06
4,LTP,4,1,1,0,7/17/14,22,44,9:06
5,LTS,1,1,0,0,7/17/14,22,44,9:06
6,LTS,2,1,0,1,7/17/14,22,44,9:06
7,LTS,3,1,0,0,7/17/14,22,44,9:06
8,LTS,4,1,0,1,7/17/14,22,44,9:06
9,LTC,1,1,0,0,7/17/14,22,44,9:06
10,LTC,2,1,1,0,7/17/14,22,44,9:06
11,LTC,3,1,0,0,7/17/14,22,44,9:06
12,LTC,4,1,0,0,7/17/14,22,44,9:06
13,LTP,1,2,0,1,7/17/14,22,44,9:06
14,LTP,2,2,0,0,7/17/14,22,44,9:06
15,LTP,3,2,0,1,7/17/14,22,44,9:06
16,LTP,4,2,1,1,7/17/14,22,44,9:06
17,LTS,1,2,1,1,7/17/14,22,44,9:06
18,LTS,2,2,0,1,7/17/14,22,44,9:06
19,LTS,3,2,0,1,7/17/14,22,44,9:06
20,LTS,4,2,1,1,7/17/14,22,44,9:06
21,LTC,1,2,0,1,7/17/14,22,44,9:06
22,LTC,2,2,0,1,7/17/14,22,44,9:06
23,LTC,3,2,0,1,7/17/14,22,44,9:06
24,LTC,4,2,0,0,7/17/14,22,44,9:06
25,LTP,1,3,0,1,7/17/14,22,44,9:06
26,LTP,2,3,0,1,7/17/14,22,44,9:06
27,LTP,3,3,0,0,7/17/14,22,44,9:06
28,LTP,4,3,0,1,7/17/14,22,44,9:06
29,LTS,1,3,0,1,7/17/14,22,44,9:06
30,LTS,2,3,0,1,7/17/14,22,44,9:06
31,LTS,3,3,0,1,7/17/14,22,44,9:06
32,LTS,4,3,0,1,7/17/14,22,44,9:06
33,LTC,1,3,0,0,7/17/14,22,44,9:06
34,LTC,2,3,0,1,7/17/14,22,44,9:06
35,LTC,3,3,0,1,7/17/14,22,44,9:06
36,LTC,4,3,0,1,7/17/14,22,44,9:06
37,LTP,1,4,0,1,7/17/14,22,44,9:06
39,LTP,3,4,0,1,7/17/14,22,44,9:06
40,LTP,4,4,1,1,7/17/14,22,44,9:06
41,LTS,1,4,0,1,7/17/14,22,44,9:06
42,LTS,2,4,0,1,7/17/14,22,44,9:06
43,LTS,3,4,0,1,7/17/14,22,44,9:06
44,LTS,4,4,0,1,7/17/14,22,44,9:06
45,LTC,1,4,0,0,7/17/14,22,44,9:06
46,LTC,2,4,0,1,7/17/14,22,44,9:06
47,LTC,3,4,0,1,7/17/14,22,44,9:06
48,LTC,4,4,0,1,7/17/14,22,44,9:06
1,LTP,1,1,0,1,7/24/14,22,65,9:30
2,LTP,2,1,0,1,7/24/14,22,65,9:30
3,LTP,3,1,1,0,7/24/14,22,65,9:30
4,LTP,4,1,0,0,7/24/14,22,65,9:30
5,LTS,1,1,1,0,7/24/14,22,65,9:30
6,LTS,2,1,0,0,7/24/14,22,65,9:30
7,LTS,3,1,0,0,7/24/14,22,65,9:30
8,LTS,4,1,1,0,7/24/14,22,65,9:30
9,LTC,1,1,1,1,7/24/14,22,65,9:30
10,LTC,2,1,1,0,7/24/14,22,65,9:30
11,LTC,3,1,0,0,7/24/14,22,65,9:30
12,LTC,4,1,1,0,7/24/14,22,65,9:30
13,LTP,1,2,0,1,7/24/14,22,65,9:30
14,LTP,2,2,0,0,7/24/14,22,65,9:30
15,LTP,3,2,0,1,7/24/14,22,65,9:30
16,LTP,4,2,0,0,7/24/14,22,65,9:30
17,LTS,1,2,0,1,7/24/14,22,65,9:30
18,LTS,2,2,0,1,7/24/14,22,65,9:30
19,LTS,3,2,1,1,7/24/14,22,65,9:30
20,LTS,4,2,1,1,7/24/14,22,65,9:30
21,LTC,1,2,0,1,7/24/14,22,65,9:30
22,LTC,2,2,0,1,7/24/14,22,65,9:30
23,LTC,3,2,0,1,7/24/14,22,65,9:30
24,LTC,4,2,0,1,7/24/14,22,65,9:30
25,LTP,1,3,1,1,7/24/14,22,65,9:30
26,LTP,2,3,1,1,7/24/14,22,65,9:30
27,LTP,3,3,0,1,7/24/14,22,65,9:30
28,LTP,4,3,1,1,7/24/14,22,65,9:30
29,LTS,1,3,0,1,7/24/14,22,65,9:30
30,LTS,2,3,0,1,7/24/14,22,65,9:30
31,LTS,3,3,1,1,7/24/14,22,65,9:30
32,LTS,4,3,1,1,7/24/14,22,65,9:30
33,LTC,1,3,1,1,7/24/14,22,65,9:30
34,LTC,2,3,0,1,7/24/14,22,65,9:30
35,LTC,3,3,0,1,7/24/14,22,65,9:30
36,LTC,4,3,1,1,7/24/14,22,65,9:30
37,LTP,1,4,0,1,7/24/14,22,65,9:30
38,LTP,2,4,1,1,7/24/14,22,65,9:30
39,LTP,3,4,0,1,7/24/14,22,65,9:30
40,LTP,4,4,0,1,7/24/14,22,65,9:30
41,LTS,1,4,0,1,7/24/14,22,65,9:30
42,LTS,2,4,1,1,7/24/14,22,65,9:30
43,LTS,3,4,1,1,7/24/14,22,65,9:30
44,LTS,4,4,0,1,7/24/14,22,65,9:30
45,LTC,1,4,0,1,7/24/14,22,65,9:30
46,LTC,2,4,0,1,7/24/14,22,65,9:30
47,LTC,3,4,0,0,7/24/14,22,65,9:30
48,LTC,4,4,1,1,7/24/14,22,65,9:30
1,LTP,1,1,0,0,7/31/14,23,47,9:34
2,LTP,2,1,0,0,7/31/14,23,47,9:34
3,LTP,3,1,0,0,7/31/14,23,47,9:34
4,LTP,4,1,0,0,7/31/14,23,47,9:34
5,LTS,1,1,1,0,7/31/14,23,47,9:34
6,LTS,2,1,0,0,7/31/14,23,47,9:34
7,LTS,3,1,0,0,7/31/14,23,47,9:34
8,LTS,4,1,0,0,7/31/14,23,47,9:34
9,LTC,1,1,0,0,7/31/14,23,47,9:34
10,LTC,2,1,1,0,7/31/14,23,47,9:34
11,LTC,3,1,0,0,7/31/14,23,47,9:34
12,LTC,4,1,1,0,7/31/14,23,47,9:34
13,LTP,1,2,0,1,7/31/14,23,47,9:34
14,LTP,2,2,0,1,7/31/14,23,47,9:34
15,LTP,3,2,0,1,7/31/14,23,47,9:34
16,LTP,4,2,1,1,7/31/14,23,47,9:34
17,LTS,1,2,0,0,7/31/14,23,47,9:34
18,LTS,2,2,0,1,7/31/14,23,47,9:34
19,LTS,3,2,0,1,7/31/14,23,47,9:34
20,LTS,4,2,0,0,7/31/14,23,47,9:34
21,LTC,1,2,1,1,7/31/14,23,47,9:34
22,LTC,2,2,0,0,7/31/14,23,47,9:34
23,LTC,3,2,0,1,7/31/14,23,47,9:34
24,LTC,4,2,1,1,7/31/14,23,47,9:34
25,LTP,1,3,1,1,7/31/14,23,47,9:34
26,LTP,2,3,0,1,7/31/14,23,47,9:34
27,LTP,3,3,0,0,7/31/14,23,47,9:34
28,LTP,4,3,0,1,7/31/14,23,47,9:34
29,LTS,1,3,0,1,7/31/14,23,47,9:34
30,LTS,2,3,1,0,7/31/14,23,47,9:34
31,LTS,3,3,1,1,7/31/14,23,47,9:34
32,LTS,4,3,1,1,7/31/14,23,47,9:34
33,LTC,1,3,0,1,7/31/14,23,47,9:34
34,LTC,2,3,1,1,7/31/14,23,47,9:34
35,LTC,3,3,0,1,7/31/14,23,47,9:34
36,LTC,4,3,0,1,7/31/14,23,47,9:34
37,LTP,1,4,0,1,7/31/14,23,47,9:34
38,LTP,2,4,1,1,7/31/14,23,47,9:34
39,LTP,3,4,0,1,7/31/14,23,47,9:34
40,LTP,4,4,0,1,7/31/14,23,47,9:34
41,LTS,1,4,0,1,7/31/14,23,47,9:34
42,LTS,2,4,1,1,7/31/14,23,47,9:34
43,LTS,3,4,1,1,7/31/14,23,47,9:34
44,LTS,4,4,0,1,7/31/14,23,47,9:34
45,LTC,1,4,1,1,7/31/14,23,47,9:34
46,LTC,2,4,0,0,7/31/14,23,47,9:34
47,LTC,3,4,0,1,7/31/14,23,47,9:34
48,LTC,4,4,1,1,7/31/14,23,47,9:34
1,LTP,1,1,0,0,7/30/14,22,63,9:40
2,LTP,2,1,0,0,7/30/14,22,63,9:40
3,LTP,3,1,0,0,7/30/14,22,63,9:40
4,LTP,4,1,1,0,7/30/14,22,63,9:40
5,LTS,1,1,0,0,7/30/14,22,63,9:40
6,LTS,2,1,0,0,7/30/14,22,63,9:40
7,LTS,3,1,0,0,7/30/14,22,63,9:40
8,LTS,4,1,1,0,7/30/14,22,63,9:40
9,LTC,1,1,0,0,7/30/14,22,63,9:40
10,LTC,2,1,1,0,7/30/14,22,63,9:40
11,LTC,3,1,1,0,7/30/14,22,63,9:40
12,LTC,4,1,1,0,7/30/14,22,63,9:40
13,LTP,1,2,0,1,7/30/14,22,63,9:40
14,LTP,2,2,0,1,7/30/14,22,63,9:40
16,LTP,4,2,0,1,7/30/14,22,63,9:40
17,LTS,1,2,1,1,7/30/14,22,63,9:40
18,LTS,2,2,0,1,7/30/14,22,63,9:40
19,LTS,3,2,1,1,7/30/14,22,63,9:40
20,LTS,4,2,1,1,7/30/14,22,63,9:40
21,LTC,1,2,0,1,7/30/14,22,63,9:40
22,LTC,2,2,1,1,7/30/14,22,63,9:40
23,LTC,3,2,1,1,7/30/14,22,63,9:40
24,LTC,4,2,0,1,7/30/14,22,63,9:40
25,LTP,1,3,1,1,7/30/14,22,63,9:40
26,LTP,2,3,0,1,7/30/14,22,63,9:40
27,LTP,3,3,0,1,7/30/14,22,63,9:40
28,LTP,4,3,0,1,7/30/14,22,63,9:40
30,LTS,2,3,0,1,7/30/14,22,63,9:40
31,LTS,3,3,0,0,7/30/14,22,63,9:40
32,LTS,4,3,0,0,7/30/14,22,63,9:40
33,LTC,1,3,0,1,7/30/14,22,63,9:40
34,LTC,2,3,0,1,7/30/14,22,63,9:40
35,LTC,3,3,0,0,7/30/14,22,63,9:40
36,LTC,4,3,1,1,7/30/14,22,63,9:40
37,LTP,1,4,0,1,7/30/14,22,63,9:40
38,LTP,2,4,0,1,7/30/14,22,63,9:40
39,LTP,3,4,0,1,7/30/14,22,63,9:40
40,LTP,4,4,1,1,7/30/14,22,63,9:40
41,LTS,1,4,0,1,7/30/14,22,63,9:40
42,LTS,2,4,0,1,7/30/14,22,63,9:40
43,LTS,3,4,0,1,7/30/14,22,63,9:40
44,LTS,4,4,0,1,7/30/14,22,63,9:40
45,LTC,1,4,0,1,7/30/14,22,63,9:40
46,LTC,2,4,0,1,7/30/14,22,63,9:40
47,LTC,3,4,0,1,7/30/14,22,63,9:40
48,LTC,4,4,0,1,7/30/14,22,63,9:40
1,LTP,1,1,0,0,8/22/14,23,61,8:07
2,LTP,2,1,1,0,8/22/14,23,61,8:07
3,LTP,3,1,0,1,8/22/14,23,61,8:07
5,LTS,1,1,0,0,8/22/14,23,61,8:07
6,LTS,2,1,0,0,8/22/14,23,61,8:07
7,LTS,3,1,1,0,8/22/14,23,61,8:07
8,LTS,4,1,0,1,8/22/14,23,61,8:07
9,LTC,1,1,1,0,8/22/14,23,61,8:07
10,LTC,2,1,0,1,8/22/14,23,61,8:07
11,LTC,3,1,1,1,8/22/14,23,61,8:07
12,LTC,4,1,1,0,8/22/14,23,61,8:07
13,LTP,1,2,0,1,8/22/14,23,61,8:07
14,LTP,2,2,0,1,8/22/14,23,61,8:07
15,LTP,3,2,1,1,8/22/14,23,61,8:07
16,LTP,4,2,0,1,8/22/14,23,61,8:07
17,LTS,1,2,0,0,8/22/14,23,61,8:07
18,LTS,2,2,1,1,8/22/14,23,61,8:07
19,LTS,3,2,0,0,8/22/14,23,61,8:07
20,LTS,4,2,1,1,8/22/14,23,61,8:07
21,LTC,1,2,0,1,8/22/14,23,61,8:07
22,LTC,2,2,0,1,8/22/14,23,61,8:07
23,LTC,3,2,0,0,8/22/14,23,61,8:07
24,LTC,4,2,0,1,8/22/14,23,61,8:07
25,LTP,1,3,1,1,8/22/14,23,61,8:07
26,LTP,2,3,1,1,8/22/14,23,61,8:07
27,LTP,3,3,1,1,8/22/14,23,61,8:07
28,LTP,4,3,0,1,8/22/14,23,61,8:07
29,LTS,1,3,1,1,8/22/14,23,61,8:07
30,LTS,2,3,1,1,8/22/14,23,61,8:07
31,LTS,3,3,0,1,8/22/14,23,61,8:07
32,LTS,4,3,0,0,8/22/14,23,61,8:07
33,LTC,1,3,1,1,8/22/14,23,61,8:07
34,LTC,2,3,0,1,8/22/14,23,61,8:07
35,LTC,3,3,0,1,8/22/14,23,61,8:07
36,LTC,4,3,1,1,8/22/14,23,61,8:07
37,LTP,1,4,1,1,8/22/14,23,61,8:07
38,LTP,2,4,0,1,8/22/14,23,61,8:07
39,LTP,3,4,0,1,8/22/14,23,61,8:07
40,LTP,4,4,0,1,8/22/14,23,61,8:07
41,LTS,1,4,1,1,8/22/14,23,61,8:07
42,LTS,2,4,1,1,8/22/14,23,61,8:07
43,LTS,3,4,0,1,8/22/14,23,61,8:07
44,LTS,4,4,0,1,8/22/14,23,61,8:07
45,LTC,1,4,0,1,8/22/14,23,61,8:07
47,LTC,3,4,0,1,8/22/14,23,61,8:07
48,LTC,4,4,1,1,8/22/14,23,61,8:07
1,LTP,1,1,0,0,8/28/14,22,61,9:20
2,LTP,2,1,0,0,8/28/14,22,61,9:20
3,LTP,3,1,0,1,8/28/14,22,61,9:20
4,LTP,4,1,0,1,8/28/14,22,61,9:20
5,LTS,1,1,0,0,8/28/14,22,61,9:20
6,LTS,2,1,0,1,8/28/14,22,61,9:20
7,LTS,3,1,0,1,8/28/14,22,61,9:20
8,LTS,4,1,1,0,8/28/14,22,61,9:20
9,LTC,1,1,0,0,8/28/14,22,61,9:20
10,LTC,2,1,0,0,8/28/14,22,61,9:20
11,LTC,3,1,0,0,8/28/14,22,61,9:20
12,LTC,4,1,0,0,8/28/14,22,61,9:20
13,LTP,1,2,0,0,8/28/14,22,61,9:20
14,LTP,2,2,0,1,8/28/14,22,61,9:20
15,LTP,3,2,0,1,8/28/14,22,61,9:20
16,LTP,4,2,0,1,8/28/14,22,61,9:20
17,LTS,1,2,0,1,8/28/14,22,61,9:20
18,LTS,2,2,0,1,8/28/14,22,61,9:20
19,LTS,3,2,1,1,8/28/14,22,61,9:20
20,LTS,4,2,1,1,8/28/14,22,61,9:20
21,LTC,1,2,0,1,8/28/14,22,61,9:20
22,LTC,2,2,0,1,8/28/14,22,61,9:20
23,LTC,3,2,0,1,8/28/14,22,61,9:20
24,LTC,4,2,1,0,8/28/14,22,61,9:20
25,LTP,1,3,0,1,8/28/14,22,61,9:20
26,LTP,2,3,1,1,8/28/14,22,61,9:20
27,LTP,3,3,0,1,8/28/14,22,61,9:20
28,LTP,4,3,0,1,8/28/14,22,61,9:20
29,LTS,1,3,0,1,8/28/14,22,61,9:20
30,LTS,2,3,0,1,8/28/14,22,61,9:20
31,LTS,3,3,1,1,8/28/14,22,61,9:20
32,LTS,4,3,0,1,8/28/14,22,61,9:20
33,LTC,1,3,0,1,8/28/14,22,61,9:20
34,LTC,2,3,0,0,8/28/14,22,61,9:20
35,LTC,3,3,0,1,8/28/14,22,61,9:20
36,LTC,4,3,0,1,8/28/14,22,61,9:20
37,LTP,1,4,0,0,8/28/14,22,61,9:20
38,LTP,2,4,0,1,8/28/14,22,61,9:20
39,LTP,3,4,1,1,8/28/14,22,61,9:20
40,LTP,4,4,1,0,8/28/14,22,61,9:20
41,LTS,1,4,1,1,8/28/14,22,61,9:20
42,LTS,2,4,0,1,8/28/14,22,61,9:20
43,LTS,3,4,0,1,8/28/14,22,61,9:20
44,LTS,4,4,0,1,8/28/14,22,61,9:20
45,LTC,1,4,0,1,8/28/14,22,61,9:20
46,LTC,2,4,1,1,8/28/14,22,61,9:20
47,LTC,3,4,0,1,8/28/14,22,61,9:20
48,LTC,4,4,0,1,8/28/14,22,61,9:20
